gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes,uwb_skewness,uwb_peak_time_fraction,uwb_trough_time_fraction,uwb_early_late_diff
clapping,nav,2,29.573333333333334,16.505492688462493,2.0,68.0,86026.0,-56.0,32,0.8070882107086668,0.013513513513513514,0.4864864864864865,-13.057610241820765
clapping,nav,3,33.6,12.083045973594574,16.0,60.0,95622.0,-3.0,31,0.22972525536886979,0.5135135135135135,0.1891891891891892,-0.5761024182076824
clapping,nav,4,27.490066225165563,15.366975663910479,8.0,70.0,149769.0,-36.0,80,1.542158748771785,0.07333333333333333,0.18666666666666668,-10.735438596491225
clapping,nav,5,30.08609271523179,14.449244530929038,6.0,57.0,168207.0,-33.0,64,0.38380856363651733,0.013333333333333334,0.3,-15.82964912280702
clapping,nav,6,28.526666666666667,16.89406075781927,6.0,74.0,164877.0,-26.0,50,1.0958313336959675,0.10067114093959731,0.9395973154362416,-16.44
clapping,nav,7,17.322147651006713,8.695650734494802,2.0,45.0,55975.0,-38.0,52,0.8105201467985439,0.0,0.44594594594594594,-2.8500900900900916
clapping,nav,8,28.42,13.583946407432562,5.0,54.0,148833.0,-41.0,45,0.09824073805156545,0.09395973154362416,0.8791946308724832,-12.626666666666669
clapping,nav,9,23.460526315789473,12.486245895588352,3.0,50.0,107358.0,5.0,57,0.33448505772099385,0.7086092715231788,0.3841059602649007,6.684210526315791
clapping,nav,10,39.18666666666667,18.120112827708574,7.0,76.0,279590.0,-39.0,55,-0.0232975345261375,0.2214765100671141,0.8389261744966443,-20.906666666666666
clapping,nav,11,33.01324503311258,18.496101882126364,1.0,76.0,216229.0,-48.0,60,0.5512833850257499,0.21333333333333335,0.8733333333333333,-20.08052631578947
clapping,nav,12,30.673333333333332,17.100291095637978,6.0,64.0,184991.0,-33.0,63,0.38939562986968745,0.0,0.3221476510067114,-11.426666666666662
clapping,nav,13,18.583333333333332,13.728265650757846,4.0,49.0,57651.0,-36.0,48,1.0617727637664696,0.17757009345794392,0.48598130841121495,-15.240740740740739
clapping,nav,14,29.573333333333334,9.861268793731474,8.0,49.0,145774.0,-18.0,69,0.1516693355829232,0.22818791946308725,0.35570469798657717,-9.466666666666665
clapping,nav,15,24.403973509933774,12.156364701433779,9.0,58.0,112243.0,-43.0,76,1.2226056945497508,0.1,0.8066666666666666,-11.621754385964913
clapping,nav,16,27.3841059602649,11.316553501004194,6.0,55.0,132571.0,-12.0,69,0.2510745434292296,0.8933333333333333,0.5866666666666667,2.0612280701754386
clapping,nav,17,28.020408163265305,13.799570824320718,0.0,60.0,143409.0,2.0,42,-0.15549657119534668,0.2328767123287671,0.8082191780821918,-11.388559792669383
clapping,nav,18,26.072847682119207,15.098396624556807,0.0,56.0,137071.0,-42.0,56,0.10068153742332686,0.12666666666666668,0.5933333333333334,-8.279473684210526
clapping,nav,19,33.59863945578231,13.88419542150934,5.0,61.0,194281.0,13.0,59,-0.04540720133375915,0.8082191780821918,0.8767123287671232,5.815253609774157
clapping,nav,20,22.311258278145694,11.737857149825784,5.0,54.0,95971.0,-43.0,63,0.7871615304424592,0.0,0.44666666666666666,-10.322456140350877
clapping,nav,21,32.50335570469799,14.186024014143287,8.0,59.0,187399.0,-9.0,51,0.12965200113804828,0.22297297297297297,0.75,-9.765585585585587
clockwise,akshat,1,88.12,41.76344813350545,26.0,160.0,1426398.0,108.0,61,0.26802570670342896,0.9731543624161074,0.37583892617449666,75.17333333333333
clockwise,akshat,2,100.27333333333333,43.57367655923572,29.0,172.0,1793011.0,13.0,69,-0.1004176132274101,0.9060402684563759,0.18120805369127516,51.986666666666665
clockwise,akshat,3,77.32666666666667,44.32734245236104,25.0,148.0,1191649.0,13.0,63,0.3746841274159351,0.5369127516778524,0.026845637583892617,-3.4799999999999898
clockwise,akshat,4,86.99333333333334,42.389070394252435,24.0,151.0,1404701.0,-29.0,59,0.25747165551432666,0.5637583892617449,0.2214765100671141,12.253333333333345
clockwise,akshat,5,76.96666666666667,42.186319530809456,11.0,143.0,1155533.0,11.0,58,0.313632954761193,0.5704697986577181,0.26174496644295303,33.53333333333333
clockwise,akshat,6,69.91390728476821,36.2474827438117,22.0,130.0,936477.0,12.0,65,0.32087716638389313,0.5466666666666666,0.18666666666666668,23.194210526315793
clockwise,akshat,7,75.52980132450331,40.201282959828,18.0,136.0,1105455.0,-19.0,56,0.24106712144587733,0.6533333333333333,0.28,58.9359649122807
clockwise,akshat,8,77.15894039735099,41.07271740990038,10.0,137.0,1153711.0,7.0,66,0.20440247420006255,0.6066666666666667,0.34,64.05368421052631
clockwise,akshat,9,79.81333333333333,41.33576121901659,24.0,145.0,1211822.0,-14.0,53,0.280242674357562,0.6174496644295302,1.0,36.16
clockwise,akshat,10,97.84666666666666,43.43266614990253,32.0,156.0,1719055.0,-26.0,58,-0.12915426122404416,0.610738255033557,0.10067114093959731,13.319999999999993
clockwise,akshat,11,97.58278145695364,30.93174661338877,2.0,133.0,1582355.0,-23.0,64,-0.7847397757208396,0.12,0.5133333333333333,-1.6236842105263207
clockwise,akshat,12,72.97986577181209,31.105248871605788,35.0,130.0,937746.0,-6.0,70,0.5543591859938836,0.5202702702702703,0.12162162162162163,7.208648648648648
clockwise,akshat,13,82.12,43.84273714083098,16.0,153.0,1299882.0,-20.0,65,-0.07880530363466619,0.5234899328859061,0.10067114093959731,-19.040000000000006
clockwise,akshat,14,86.59333333333333,44.09400513549307,13.0,151.0,1416403.0,-22.0,62,0.11680659667108996,0.4966442953020134,0.959731543624161,3.7466666666666697
clockwise,akshat,15,43.29139072847682,30.23234297308155,8.0,154.0,421009.0,-74.0,73,1.9993863260308076,0.013333333333333334,0.5066666666666667,-27.21035087719298
clockwise,akshat,16,104.72666666666667,41.40996605756746,26.0,181.0,1902369.0,22.0,64,-0.5627486105004298,0.48322147651006714,0.06040268456375839,48.33333333333334
clockwise,akshat,17,91.17880794701986,40.324689837611146,16.0,152.0,1500888.0,15.0,56,-0.0743310536929796,0.76,0.06,60.384385964912276
clockwise,akshat,18,59.95333333333333,44.74227481426884,13.0,149.0,839441.0,-110.0,69,0.944100583585204,0.013422818791946308,0.5637583892617449,-60.97333333333333
clockwise,akshat,19,97.42666666666666,48.127517654202315,18.0,168.0,1771232.0,47.0,63,-0.10940766637512858,0.7181208053691275,0.28187919463087246,81.06666666666668
clockwise,akshat,20,92.66,42.509266440781275,18.0,162.0,1558937.0,17.0,66,-0.050178736348448376,0.785234899328859,0.2684563758389262,72.81333333333333
clockwise,jon,1,68.556,30.616578254272635,25.0,157.0,1409325.0,-23.0,130,1.0876425481086025,0.5341365461847389,0.285140562248996,-13.831999999999994
clockwise,jon,2,82.09561752988049,35.15654831123911,29.0,152.0,2001894.0,-34.0,118,0.6350524262838994,0.552,0.272,5.9276190476190465
clockwise,jon,3,82.21115537848605,38.47593591430667,24.0,158.0,2068007.0,-44.0,107,0.4168915898046196,0.592,0.352,14.986603174603175
clockwise,jon,4,88.29482071713147,38.21089430116169,24.0,160.0,2323268.0,-62.0,121,0.3741012444846781,0.628,0.368,46.94660317460318
clockwise,jon,5,71.484,32.97965651731382,12.0,147.0,1549405.0,-48.0,127,0.6650329147222844,0.570281124497992,0.37349397590361444,3.6880000000000024
clockwise,jon,6,76.25498007968127,38.75151616491004,21.0,158.0,1836442.0,-57.0,115,0.6923892114292318,0.632,0.396,24.763301587301584
clockwise,jon,7,78.7609561752988,38.90245526159692,25.0,158.0,1936889.0,-67.0,111,0.6653234869697034,0.588,0.376,23.49231746031745
clockwise,jon,8,83.104,41.1866626955863,27.0,174.0,2150654.0,-28.0,115,0.7449653549209889,0.570281124497992,0.3172690763052209,8.304000000000002
clockwise,jon,9,77.5219123505976,38.84982986841855,18.0,156.0,1887258.0,-62.0,121,0.5831290390834543,0.42,0.272,7.812698412698424
clockwise,jon,10,86.28685258964144,39.54408234691437,27.0,159.0,2261298.0,-60.0,127,0.3881343890377044,0.624,0.344,21.0817142857143
clockwise,jon,11,85.10358565737052,47.33492207346317,15.0,187.0,2380287.0,-79.0,127,0.6026195042482426,0.648,0.288,24.63701587301587
clockwise,jon,12,77.68525896414343,40.87012446198953,25.0,189.0,1934047.0,-37.0,134,0.8115507371198291,0.548,0.332,-10.92196825396826
clockwise,jon,13,82.52208835341365,34.93563378684548,25.0,160.0,1999568.0,-35.0,111,0.5498359539947342,0.5443548387096774,0.3387096774193548,26.968129032258062
clockwise,jon,14,90.34661354581674,45.48336435176092,22.0,185.0,2568043.0,-71.0,113,0.31207689452369897,0.776,0.332,37.98190476190476
clockwise,jon,15,94.136,39.40463810263964,24.0,186.0,2603578.0,32.0,128,0.39336386552440816,0.9799196787148594,0.5341365461847389,44.512
clockwise,jon,16,94.61354581673307,43.48528688046781,21.0,194.0,2721516.0,-10.0,129,0.29344945084098906,0.948,0.456,52.64933333333333
clockwise,jon,17,92.4780876494024,38.18014698026382,24.0,173.0,2512490.0,-55.0,132,0.34035335849873277,0.74,0.364,38.817523809523806
clockwise,jon,18,78.46,41.856330465056296,19.0,170.0,1976981.0,-69.0,113,0.6762643721582405,0.5742971887550201,0.36947791164658633,1.8320000000000078
clockwise,jon,19,81.29482071713147,42.834536800298714,14.0,193.0,2119355.0,-73.0,124,0.642939088796072,0.632,0.292,-9.357079365079372
clockwise,jon,20,81.50996015936255,37.51115239740949,21.0,160.0,2020791.0,-72.0,109,0.5183791058370183,0.636,0.384,27.773269841269837
clockwise,nav,1,72.49402390438247,44.037684922915126,15.0,196.0,1805870.0,-4.0,124,0.9300973540575571,0.512,0.2,-13.263111111111115
clockwise,nav,2,75.904,44.78980669750652,19.0,221.0,1941886.0,-13.0,133,1.1248824390438918,0.5783132530120482,0.3092369477911647,17.072000000000003
clockwise,nav,3,57.63745019920319,24.67413181349066,24.0,154.0,986653.0,105.0,114,2.4326381186887285,0.992,0.812,17.206349206349202
clockwise,nav,4,75.14342629482071,50.67342658598965,8.0,212.0,2061797.0,-7.0,134,1.220211630166646,0.788,0.984,60.12730158730158
clockwise,nav,5,73.29482071713147,54.44746666798634,4.0,233.0,2092501.0,-18.0,138,1.2042569345362582,0.736,0.504,68.01466666666667
clockwise,nav,6,67.0515873015873,55.56528868821149,19.0,223.0,1911021.0,9.0,117,1.0484329806026267,0.7529880478087649,0.3466135458167331,80.65873015873015
clockwise,nav,7,80.73705179282868,53.07307768889816,17.0,239.0,2343141.0,-3.0,130,1.0245109145845284,0.64,0.876,61.81980952380952
clockwise,nav,8,81.11952191235059,53.9097820341969,23.0,258.0,2381147.0,12.0,115,1.2726061382734324,0.8,0.54,67.4423492063492
clockwise,nav,9,60.04382470119522,30.24972542289443,16.0,170.0,1134597.0,122.0,127,1.9383718748850778,0.988,0.768,16.32660317460318
