gesture,person,trial,uwb_distance_mean,uwb_distance_std,uwb_distance_min,uwb_distance_max,uwb_distance_energy,uwb_distance_slope,uwb_direction_changes
t_arm,akshat,10,117.56666666666666,57.383785940707064,33.0,283.0,2567223.0,95.0,71.0
t_arm,akshat,11,139.50993377483445,57.895643449738,40.0,287.0,3445054.0,50.0,78.0
t_arm,akshat,12,115.81333333333332,64.90088717078956,31.0,294.0,2643728.0,140.0,67.0
t_arm,akshat,13,111.20529801324504,52.78060524294744,32.0,188.0,2288014.0,116.0,71.0
t_arm,akshat,14,114.91333333333333,57.722662986232905,39.0,307.0,2480547.0,107.0,63.0
t_arm,akshat,15,128.58,56.54959711026537,35.0,271.0,2959601.0,106.0,62.0
t_arm,akshat,16,117.317880794702,53.89287520774871,37.0,244.0,2516857.0,90.0,68.0
t_arm,akshat,17,121.32,56.56634099297331,31.0,256.0,2687744.0,92.0,66.0
t_arm,akshat,18,109.38666666666668,55.217242073669546,30.0,230.0,2252158.0,115.0,56.0
t_arm,akshat,19,101.96666666666668,45.329080682885625,30.0,191.0,1867789.0,107.0,68.0
t_arm,akshat,20,115.84666666666666,54.60985706709813,32.0,239.0,2460403.0,95.0,65.0
two_arm_boxing,akshat,1,41.34228187919463,21.33584808684608,3.0,95.0,322496.0,25.0,53.0
two_arm_boxing,akshat,2,44.193333333333335,15.286899256843714,7.0,79.0,328011.0,24.0,52.0
two_arm_boxing,akshat,3,47.19867549668874,19.06177474748447,16.0,108.0,391251.0,31.0,65.0
two_arm_boxing,akshat,4,51.5,21.221608484435546,16.0,116.0,465391.0,-3.0,67.0
two_arm_boxing,akshat,5,52.413333333333334,21.55216514000907,14.0,93.0,481748.0,46.0,72.0
two_arm_boxing,akshat,6,41.78666666666667,21.602650043198143,9.0,118.0,331920.0,29.0,57.0
two_arm_boxing,akshat,7,40.93835616438356,19.26783912884537,3.0,103.0,298891.0,52.0,56.0
two_arm_boxing,akshat,8,47.49333333333333,18.976387667016315,5.0,86.0,392358.0,24.0,68.0
two_arm_boxing,akshat,9,44.39333333333333,16.880717467638103,13.0,84.0,338359.0,13.0,67.0
two_arm_boxing,akshat,10,46.2027027027027,16.425902196399086,8.0,82.0,355866.0,34.0,68.0
two_arm_boxing,akshat,11,47.77333333333333,20.289618582472716,8.0,92.0,404094.0,-29.0,69.0
two_arm_boxing,akshat,12,45.266666666666666,21.53498445682178,12.0,114.0,376924.0,23.0,67.0
two_arm_boxing,akshat,13,45.82666666666667,22.492590384885027,8.0,115.0,390900.0,12.0,68.0
two_arm_boxing,akshat,14,47.86754966887417,22.50141290536217,10.0,115.0,422440.0,-2.0,70.0
two_arm_boxing,akshat,15,40.986666666666665,19.102525720147295,1.0,82.0,306722.0,-50.0,61.0
two_arm_boxing,akshat,16,53.99337748344371,20.06561973164851,16.0,107.0,501005.0,31.0,65.0
two_arm_boxing,akshat,17,51.22666666666667,23.185957435961583,12.0,114.0,474264.0,35.0,72.0
two_arm_boxing,akshat,18,53.53741496598639,24.700180976186683,5.0,114.0,511024.0,63.0,61.0
two_arm_boxing,akshat,19,48.435374149659864,23.387323744602373,1.0,101.0,425264.0,10.0,64.0
two_arm_boxing,akshat,20,58.3,25.512023309281712,18.0,116.0,607463.0,47.0,59.0
clapping,akshat,1_aug1,38.588614632120965,17.449311122564552,2.12783546992218,81.02353252029496,269596.9934266046,15.383847720631797,47.04777820639738
clapping,akshat,2_aug1,36.492941507125714,17.549679611282173,7.309261817252427,79.20801305795504,254370.2711523114,-4.156292105813469,58.33459369540598
clapping,akshat,3_aug1,33.427482899430935,20.63123946132674,0.31844919051361376,85.22220009302411,293334.3690042965,-48.569988966463555,41.09449805825164
